[run number],minimum-sugar-endowment,initial-population,[step],gini-index-reserve
7,8,100,31,18.91736227
8,8,100,32,20.22587532
4,6,200,18,37.43815819
2,6,100,35,20.87076497
3,6,200,15,39.2240782
6,6,300,14,52.82408889
7,8,100,32,19.03826531
10,8,200,21,36.12247788
2,6,100,36,20.94135354
8,8,100,33,20.08869799
4,6,200,19,37.60724264
5,6,300,14,53.11246313
9,8,200,13,35.71168478
7,8,100,33,18.98425551
8,8,100,34,20.24323779
2,6,100,37,21.03776068
3,6,200,16,39.87345679
10,8,200,22,35.59511699
7,8,100,34,19.0759965
4,6,200,20,37.90566233
2,6,100,38,21.09434894
8,8,100,35,20.37884161
6,6,300,15,52.88219364
7,8,100,35,19.19431381
2,6,100,39,21.14037794
3,6,200,17,40.27901684
8,8,100,36,20.47501922
10,8,200,23,35.61399217
9,8,200,14,37.16370525
7,8,100,36,19.1503642
4,6,200,21,37.58725762
5,6,300,15,53.32404641
2,6,100,40,21.07862108
8,8,100,37,20.47453184
6,6,300,16,53.66115435
7,8,100,37,19.19622565
10,8,200,24,35.87181102
3,6,200,18,40.85808147
2,6,100,41,20.9640044
4,6,200,22,37.94232238
8,8,100,38,20.24563001
7,8,100,38,19.21168677
9,8,200,15,37.67561829
10,8,200,25,35.66038882
2,6,100,42,21.01709937
7,8,100,39,19.26210689
8,8,100,39,20.30270655
5,6,300,16,54.01357275
6,6,300,17,54.55136187
4,6,200,23,37.75178932
3,6,200,19,40.5737722
2,6,100,43,21.03664509
7,8,100,40,19.33166635
10,8,200,26,35.60108568
8,8,100,40,20.16389178
9,8,200,16,38.69812455
2,6,100,44,21.03171482
7,8,100,41,19.27040722
4,6,200,24,38.00931346
8,8,100,41,20.22022396
10,8,200,27,35.7044293
6,6,300,18,54.5049195
3,6,200,20,40.9579646
7,8,100,42,19.32783487
5,6,300,17,54.77281553
2,6,100,45,20.92723632
8,8,100,42,20.16721909
4,6,200,25,37.82336353
7,8,100,43,19.37906073
10,8,200,28,35.74072547
2,6,100,46,20.84698206
9,8,200,17,39.18842251
8,8,100,43,20.18492707
3,6,200,21,41.09108527
1,6,100,4,15.83772819
7,8,100,44,19.43618125
2,6,100,47,20.83775152
8,8,100,44,20.19700333
6,6,300,19,54.61356151
10,8,200,29,35.84368337
4,6,200,26,38.0980116
5,6,300,18,56.23765625
2,6,100,48,20.80212566
7,8,100,45,19.32848935
8,8,100,45,20.11875969
3,6,200,22,41.06032072
9,8,200,18,38.65464144
7,8,100,46,19.26284912
2,6,100,49,20.77066748
4,6,200,27,38.33303929
10,8,200,30,36.08097953
8,8,100,46,20.14782741
6,6,300,20,55.14815582
7,8,100,47,19.32074554
2,6,100,50,20.52437201
5,6,300,19,56.36056612
8,8,100,47,20.19609887
4,6,200,28,38.48630989
3,6,200,23,41.46361671
7,8,100,48,19.2706116
10,8,200,31,36.30886985
9,8,200,19,38.66782627
8,8,100,48,20.23766423
6,6,300,21,55.29882916
7,8,100,49,19.3537346
8,8,100,49,20.22188841
4,6,200,29,38.59519506
10,8,200,32,36.5017159
3,6,200,24,42.14728479
5,6,300,20,56.11420373
7,8,100,50,19.41358214
9,8,200,20,38.89590097
8,8,100,50,20.13660552
4,6,200,30,38.47808619
10,8,200,33,36.6704437
6,6,300,22,56.02115212
3,6,200,25,42.53416202
