"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"Sugarscape 2 Constant Growback.nlogo"
"experiment"
"02/27/2024 11:49:11:781 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"max-initial-vision","initial-population","[step]","(mean) Gini-index-reserve","(std) Gini-index-reserve","(mean) survival-ratio","(std) survival-ratio"
"4","100","0","11.498157382221898","0.6984815785851531","1","0"
"4","100","20","10.551238809835093","0.6788380370085769","0.99","0.007071067811865481"
"4","100","40","10.337105219671567","0.5977097067268863","0.99","0.007071067811865481"
"4","100","60","9.996545121550966","0.5607782172787408","0.99","0.007071067811865481"
"4","100","80","9.818712878224199","0.5813199432551365","0.99","0.007071067811865481"
"4","100","100","9.703439961127616","0.5510779112817557","0.99","0.007071067811865481"
"4","100","120","9.633135063641697","0.5338894293871174","0.99","0.007071067811865481"
"4","100","140","9.536887556482402","0.4722697289472854","0.99","0.007071067811865481"
"4","100","160","9.516203588350042","0.44543954503895433","0.99","0.007071067811865481"
"4","100","180","9.485254934548971","0.4354989365877019","0.99","0.007071067811865481"
"4","100","200","9.469355894374562","0.43004551290931214","0.99","0.007071067811865481"
"4","100","220","9.444204330822455","0.41009152546567934","0.99","0.007071067811865481"
"4","100","240","9.418867813439471","0.4082693193737807","0.99","0.007071067811865481"
"4","100","260","9.399082823920049","0.42504976417795864","0.99","0.007071067811865481"
"4","100","280","9.387437273300023","0.4199827688167314","0.99","0.007071067811865481"
"4","100","300","9.356915495023856","0.4149876943780212","0.99","0.007071067811865481"
"4","100","320","9.348439700418552","0.40296019902218166","0.99","0.007071067811865481"
"4","100","340","9.330749740308493","0.3917766799890603","0.99","0.007071067811865481"
"4","100","360","9.325030177009099","0.3817708441888981","0.99","0.007071067811865481"
"4","100","380","9.309230879025144","0.3876871135259705","0.99","0.007071067811865481"
"4","100","400","9.28664573396021","0.3922584712982033","0.99","0.007071067811865481"
"4","100","420","9.279310233130976","0.4034871066367375","0.99","0.007071067811865481"
"4","100","440","9.27450784316701","0.4087878284855946","0.99","0.007071067811865481"
"4","100","460","9.28104913278499","0.39887056086304506","0.99","0.007071067811865481"
"4","100","480","9.281439036372651","0.39107176109438013","0.99","0.007071067811865481"
"4","100","500","9.282917055252945","0.38772458959246187","0.99","0.007071067811865481"
"4","100","520","9.28185443636606","0.39155835443095766","0.99","0.007071067811865481"
"4","100","540","9.277402979558039","0.38993670697097665","0.99","0.007071067811865481"
"4","100","560","9.266058566594314","0.39065175214928394","0.99","0.007071067811865481"
"4","100","580","9.262570000870564","0.38464353336042356","0.99","0.007071067811865481"
"4","100","600","9.264182751582338","0.3836306299737461","0.99","0.007071067811865481"
"4","100","620","9.2600062891892","0.3820327219724671","0.99","0.007071067811865481"
"4","100","640","9.261016817290523","0.385758905203014","0.99","0.007071067811865481"
"4","100","660","9.263473644565783","0.3881799164890876","0.99","0.007071067811865481"
"4","100","680","9.265211981620315","0.38896596622516405","0.99","0.007071067811865481"
"4","100","700","9.264919579436432","0.39088520007740446","0.99","0.007071067811865481"
"4","100","720","9.262844687032722","0.3859238054246502","0.99","0.007071067811865481"
"4","100","740","9.260349456977256","0.38501837005802714","0.99","0.007071067811865481"
"4","100","760","9.25850410155918","0.38915360799053117","0.99","0.007071067811865481"
"4","100","780","9.260311599765199","0.3941603711421054","0.99","0.007071067811865481"
"4","100","800","9.262223872969592","0.39715795994417","0.99","0.007071067811865481"
"4","100","820","9.260798621937484","0.3957796150818836","0.99","0.007071067811865481"
"4","100","840","9.258260376635484","0.4008785724917842","0.99","0.007071067811865481"
"4","100","860","9.256875867822961","0.4032466915843867","0.99","0.007071067811865481"
"4","100","880","9.25630951114223","0.4066979906096871","0.99","0.007071067811865481"
"4","100","900","9.254848185630753","0.40923348340118576","0.99","0.007071067811865481"
"4","100","920","9.25415059482818","0.4115096649170717","0.99","0.007071067811865481"
"4","100","940","9.255236695381749","0.4127227546537314","0.99","0.007071067811865481"
"4","100","960","9.25007048358395","0.41279377822493973","0.99","0.007071067811865481"
"4","100","980","9.249425885247927","0.41284146048679354","0.99","0.007071067811865481"
"4","100","1000","9.248706584643813","0.4115913739530087","0.99","0.007071067811865481"
"4","100","1020","9.250716771449051","0.41214764162553275","0.99","0.007071067811865481"
"4","100","1040","9.249949080739082","0.4151856998287662","0.99","0.007071067811865481"
"4","100","1060","9.251614401947485","0.41717502347517965","0.99","0.007071067811865481"
"4","100","1080","9.253423663643064","0.4204957319453503","0.99","0.007071067811865481"
"4","100","1100","9.255121775528766","0.42426344045293063","0.99","0.007071067811865481"
"4","100","1120","9.259374104860939","0.4249083882431501","0.99","0.007071067811865481"
"4","100","1140","9.260021447430482","0.42305876943788656","0.99","0.007071067811865481"
"4","100","1160","9.260949092738333","0.4250405338281369","0.99","0.007071067811865481"
"4","100","1180","9.263575886877113","0.43156512114648504","0.99","0.007071067811865481"
"4","100","1200","9.262888563226142","0.43507435837111674","0.99","0.007071067811865481"
"4","100","1220","9.265918077407687","0.4337350728750965","0.99","0.007071067811865481"
"4","100","1240","9.26591172140239","0.4362444157101874","0.99","0.007071067811865481"
"4","100","1260","9.26403616272651","0.43693590192611864","0.99","0.007071067811865481"
"4","100","1280","9.260259443496249","0.43598764101761617","0.99","0.007071067811865481"
"4","100","1300","9.260175983408718","0.4373851933392936","0.99","0.007071067811865481"
"4","100","1320","9.259387688560034","0.4398735096860313","0.99","0.007071067811865481"
"4","100","1340","9.260310668673961","0.4402984414763882","0.99","0.007071067811865481"
"4","100","1360","9.259828148221173","0.4405189831415111","0.99","0.007071067811865481"
"4","100","1380","9.258593258514296","0.4423151410852519","0.99","0.007071067811865481"
"4","100","1400","9.256352619751176","0.44504426029838534","0.99","0.007071067811865481"
"4","100","1420","9.256489771108079","0.44973053122390233","0.99","0.007071067811865481"
"4","100","1440","9.257348466493426","0.4528684600758357","0.99","0.007071067811865481"
"4","100","1460","9.25438124518967","0.4573754283398612","0.99","0.007071067811865481"
"4","100","1480","9.254692594743265","0.4597999763977471","0.99","0.007071067811865481"
"4","100","1500","9.255209257655375","0.45773201645452405","0.99","0.007071067811865481"
"4","100","1520","9.25713529010731","0.45867999258197995","0.99","0.007071067811865481"
"4","100","1540","9.258386084321906","0.4592375068180339","0.99","0.007071067811865481"
"4","100","1560","9.25800303971975","0.45812834172234124","0.99","0.007071067811865481"
"4","100","1580","9.256453146004436","0.45795388789830654","0.99","0.007071067811865481"
"4","100","1600","9.258758808537092","0.45839060044395047","0.99","0.007071067811865481"
"4","100","1620","9.260413147620705","0.4611749716963133","0.99","0.007071067811865481"
"4","100","1640","9.26117125370356","0.46465408193806146","0.99","0.007071067811865481"
"4","100","1660","9.262803088078183","0.4672788983988249","0.99","0.007071067811865481"
"4","100","1680","9.26423453358198","0.46668360942947396","0.99","0.007071067811865481"
"4","100","1700","9.263816877635811","0.46769627827520155","0.99","0.007071067811865481"
"4","100","1720","9.262453832893073","0.4695950645754071","0.99","0.007071067811865481"
"4","100","1740","9.260961875962312","0.4709601862797701","0.99","0.007071067811865481"
"4","100","1760","9.261707338684431","0.4695646425619383","0.99","0.007071067811865481"
"4","100","1780","9.264538238906251","0.46914647631305245","0.99","0.007071067811865481"
"4","100","1800","9.265456757152329","0.4724074754846956","0.99","0.007071067811865481"
"4","100","1820","9.26572739300074","0.47636872499280514","0.99","0.007071067811865481"
"4","100","1840","9.26484519111564","0.47393204552813584","0.99","0.007071067811865481"
"4","100","1860","9.265343482982432","0.4711817373276143","0.99","0.007071067811865481"
"4","100","1880","9.264578267931594","0.4680282652098988","0.99","0.007071067811865481"
"4","100","1900","9.264444534631409","0.4667852931012263","0.99","0.007071067811865481"
"4","100","1920","9.264123149395434","0.466545605525338","0.99","0.007071067811865481"
"4","100","1940","9.261253161449561","0.46513370087404454","0.99","0.007071067811865481"
"4","100","1960","9.259260142022898","0.4639192877028453","0.99","0.007071067811865481"
"4","100","1980","9.258481135529879","0.46240540611457603","0.99","0.007071067811865481"
"4","100","2000","9.256603420309492","0.46114210281660417","0.99","0.007071067811865481"
"4","130","0","15.216787285885449","0.9052087509398057","1","0"
"4","130","20","13.790473542647792","0.14187796764891186","0.9884615384615385","0.0038461538461538325"
"4","130","40","13.557481692922243","0.3973431680846588","0.9865384615384616","0.006378124596837326"
"4","130","60","13.303185600014555","0.501843057204956","0.9865384615384616","0.006378124596837326"
"4","130","80","13.161685988994405","0.6167467760475751","0.9865384615384616","0.006378124596837326"
"4","130","100","13.089001824036481","0.6656999584368773","0.9865384615384616","0.006378124596837326"
"4","130","120","12.974032144233973","0.6489956479125889","0.9865384615384616","0.006378124596837326"
"4","130","140","12.964306185812376","0.6697946446341596","0.9865384615384616","0.006378124596837326"
"4","130","160","12.942201065531851","0.699744004284307","0.9865384615384616","0.006378124596837326"
"4","130","180","12.90732706943459","0.6951904786347745","0.9865384615384616","0.006378124596837326"
"4","130","200","12.86488623365134","0.6721690211017324","0.9865384615384616","0.006378124596837326"
"4","130","220","12.847031482025397","0.6717153712026378","0.9865384615384616","0.006378124596837326"
"4","130","240","12.82770458545841","0.6426307783541387","0.9865384615384616","0.006378124596837326"
"4","130","260","12.805512924206797","0.6308784440838365","0.9865384615384616","0.006378124596837326"
"4","130","280","12.79439969654516","0.6218385899125222","0.9865384615384616","0.006378124596837326"
"4","130","300","12.780567252987952","0.632019849799356","0.9865384615384616","0.006378124596837326"
"4","130","320","12.778754859623731","0.647984775258198","0.9865384615384616","0.006378124596837326"
"4","130","340","12.763054030346572","0.652351269690732","0.9865384615384616","0.006378124596837326"
"4","130","360","12.749814921903248","0.6452326032891443","0.9865384615384616","0.006378124596837326"
"4","130","380","12.734258987631508","0.6311324901696685","0.9865384615384616","0.006378124596837326"
"4","130","400","12.726868595811911","0.6362449656544072","0.9865384615384616","0.006378124596837326"
"4","130","420","12.717749995001128","0.6237776004220208","0.9865384615384616","0.006378124596837326"
"4","130","440","12.72509158818116","0.6174240256679095","0.9865384615384616","0.006378124596837326"
"4","130","460","12.736316818146125","0.609557045234242","0.9865384615384616","0.006378124596837326"
"4","130","480","12.730658394858851","0.6110216964046812","0.9865384615384616","0.006378124596837326"
"4","130","500","12.730235025544918","0.6144450989968985","0.9865384615384616","0.006378124596837326"
"4","130","520","12.73996345912639","0.6194558821945445","0.9865384615384616","0.006378124596837326"
"4","130","540","12.735737216070442","0.6068919567428888","0.9865384615384616","0.006378124596837326"
"4","130","560","12.737357771462658","0.6110007509636797","0.9865384615384616","0.006378124596837326"
"4","130","580","12.731618074411806","0.6091858919883814","0.9865384615384616","0.006378124596837326"
"4","130","600","12.72674669211118","0.6127685090945119","0.9865384615384616","0.006378124596837326"
"4","130","620","12.720025982200006","0.6189542715618298","0.9865384615384616","0.006378124596837326"
"4","130","640","12.718875028732374","0.6240801809269141","0.9865384615384616","0.006378124596837326"
"4","130","660","12.723658766902155","0.6266355341807526","0.9865384615384616","0.006378124596837326"
"4","130","680","12.726563525861035","0.6252455804170833","0.9865384615384616","0.006378124596837326"
"4","130","700","12.73166486696178","0.6276893251309146","0.9865384615384616","0.006378124596837326"
"4","130","720","12.730071664289367","0.6316644634185657","0.9865384615384616","0.006378124596837326"
"4","130","740","12.731275123294393","0.6384247343752134","0.9865384615384616","0.006378124596837327"
"4","130","760","12.73228014134875","0.6357871636500286","0.9865384615384616","0.006378124596837326"
"4","130","780","12.732188141257513","0.6343897413405136","0.9865384615384616","0.006378124596837326"
"4","130","800","12.727690293283157","0.6370314072967351","0.9865384615384616","0.006378124596837327"
"4","130","820","12.72495499949378","0.6337950248471916","0.9865384615384616","0.006378124596837327"
"4","130","840","12.729034299500304","0.6356585723881337","0.9865384615384616","0.006378124596837327"
"4","130","860","12.730213165936956","0.6358372766031136","0.9865384615384616","0.006378124596837327"
"4","130","880","12.730385039785377","0.6298651451101677","0.9865384615384616","0.006378124596837327"
"4","130","900","12.730054141307095","0.6314561128389148","0.9865384615384616","0.006378124596837327"
"4","130","920","12.733492660029473","0.6366239811961565","0.9865384615384616","0.006378124596837326"
"4","130","940","12.731820266104519","0.6350822533337958","0.9865384615384616","0.006378124596837326"
"4","130","960","12.727157228158285","0.6319421237633329","0.9865384615384616","0.006378124596837326"
"4","130","980","12.723016128402717","0.6277970401966708","0.9865384615384616","0.006378124596837326"
"4","130","1000","12.717985833776348","0.628744149610783","0.9865384615384616","0.006378124596837326"
"4","130","1020","12.715077256214197","0.6240362694006548","0.9865384615384616","0.006378124596837326"
"4","130","1040","12.709909111210422","0.6197759672995419","0.9865384615384616","0.006378124596837326"
"4","130","1060","12.709665881063673","0.6190761287908554","0.9865384615384616","0.006378124596837326"
"4","130","1080","12.707486082849503","0.6223941405032355","0.9865384615384616","0.006378124596837326"
"4","130","1100","12.708806916023846","0.622015580633305","0.9865384615384616","0.006378124596837326"
"4","130","1120","12.708372206376225","0.6218769918965619","0.9865384615384616","0.006378124596837326"
"4","130","1140","12.704720335470485","0.6171446926331454","0.9865384615384616","0.006378124596837326"
"4","130","1160","12.703767282077035","0.6190696104211086","0.9865384615384616","0.006378124596837326"
"4","130","1180","12.705724511077108","0.6186567087496223","0.9865384615384616","0.006378124596837326"
"4","130","1200","12.704189990239417","0.6204092883319814","0.9865384615384616","0.006378124596837326"
"4","130","1220","12.698053447243172","0.6260459054927194","0.9865384615384616","0.006378124596837326"
"4","130","1240","12.693410246756208","0.6283962593983216","0.9865384615384616","0.006378124596837326"
"4","130","1260","12.694402783352595","0.6232497067932513","0.9865384615384616","0.006378124596837326"
"4","130","1280","12.694286798630266","0.6218047590647577","0.9865384615384616","0.006378124596837326"
"4","130","1300","12.691592038599776","0.6197890395762794","0.9865384615384616","0.006378124596837326"
"4","130","1320","12.68382465901336","0.6191103397781447","0.9865384615384616","0.006378124596837326"
"4","130","1340","12.681565986632659","0.6147671452958297","0.9865384615384616","0.006378124596837326"
"4","130","1360","12.681762664008854","0.6151461763583614","0.9865384615384616","0.006378124596837326"
"4","130","1380","12.681473336617938","0.6123516657265622","0.9865384615384616","0.006378124596837326"
"4","130","1400","12.679451777982496","0.6139040649942548","0.9865384615384616","0.006378124596837326"
"4","130","1420","12.680541771486991","0.6162930921083434","0.9865384615384616","0.006378124596837326"
"4","130","1440","12.678706616590901","0.6120040638537046","0.9865384615384616","0.006378124596837326"
"4","130","1460","12.674813607747078","0.6100466670504892","0.9865384615384616","0.006378124596837326"
"4","130","1480","12.670178640120364","0.6095160469714901","0.9865384615384616","0.006378124596837326"
"4","130","1500","12.670512341108312","0.6110979587535504","0.9865384615384616","0.006378124596837326"
"4","130","1520","12.670497732507167","0.6091382589343451","0.9865384615384616","0.006378124596837326"
"4","130","1540","12.670248725341082","0.6058712002516952","0.9865384615384616","0.006378124596837326"
"4","130","1560","12.67113417752521","0.6066309739780578","0.9865384615384616","0.006378124596837326"
"4","130","1580","12.672670350786847","0.6038337437497396","0.9865384615384616","0.006378124596837326"
"4","130","1600","12.673317459879973","0.6008372355790415","0.9865384615384616","0.006378124596837326"
"4","130","1620","12.674834106117022","0.6007992007524835","0.9865384615384616","0.006378124596837326"
"4","130","1640","12.675076755826723","0.5987824595737709","0.9865384615384616","0.006378124596837326"
"4","130","1660","12.675533303078456","0.5971197117436797","0.9865384615384616","0.006378124596837326"
"4","130","1680","12.672354485847602","0.5962532788523613","0.9865384615384616","0.006378124596837326"
"4","130","1700","12.671872046146863","0.5949242722002516","0.9865384615384616","0.006378124596837326"
"4","130","1720","12.673686541095904","0.5929715937092157","0.9865384615384616","0.006378124596837326"
"4","130","1740","12.676660206882042","0.5886148813559202","0.9865384615384616","0.006378124596837327"
"4","130","1760","12.675531398254153","0.5859024072167547","0.9865384615384616","0.006378124596837327"
"4","130","1780","12.677941535815705","0.5855615625449269","0.9865384615384616","0.006378124596837327"
"4","130","1800","12.677814648852353","0.5859357687286333","0.9865384615384616","0.006378124596837327"
"4","130","1820","12.6771918288761","0.5865735058622243","0.9865384615384616","0.006378124596837327"
"4","130","1840","12.676612584261687","0.5880959836228039","0.9865384615384616","0.006378124596837327"
"4","130","1860","12.675587300759346","0.5894686654666282","0.9865384615384616","0.006378124596837327"
"4","130","1880","12.673226649518035","0.5878374629291511","0.9865384615384616","0.006378124596837326"
"4","130","1900","12.672239969722176","0.5822684466780633","0.9865384615384616","0.006378124596837327"
"4","130","1920","12.671939818617115","0.5812942165546323","0.9865384615384616","0.006378124596837327"
"4","130","1940","12.670348482337268","0.583116319634959","0.9865384615384616","0.006378124596837327"
"4","130","1960","12.669140217275146","0.5842407393478058","0.9865384615384616","0.006378124596837327"
